book_id|title|author|description|genres|first_publish_year|editions|num_pages|cover_m|cover_l|average_rating|rating_count|id_goodreads|id_amazon
OL60149W|Howl's Moving Castle (Howl's Moving Castle #1)|Diana Wynne Jones|As the oldest daughter, willful, outspoken Sophie knew that her life could lead to nothing but mistakes. When her father dies, her stepmother sends her two sisters out to make their fortunes while Sophie continues to work in the family hattery. As she whispers her thoughts to the hats she trims, the shop begins to grow in popularity, until she offends the Wicked Witch of the Waste. The witch casts a spell turning Sophie into an old woman. Sophie leaves the shop and happens upon the castle of the Wizard Howl. He has a reputation for finding young women and eating their hearts but that doesn't stop Sophie from moving in and turning the lives of the whole castle, including Howl's apprentice and his fire demon, upside down in a battle against the wicked witch and for Sophie's future.|"['Fantasy', 'Howl', 'Witches', 'Castles', 'Young adults', 'Wizards', 'deamons', 'the magician (fictitious character)', 'Blessing and cursing', 'Fiction', 'Sisters', 'Juvenile fiction', 'Fantasy fiction', ""Children's fiction"", 'fiction', 'magic']"|1986|31|304|https://covers.openlibrary.org/b/id/8783945-M.jpg|https://covers.openlibrary.org/b/id/8783945-L.jpg|4.45|86|47565|
OL3963395W|Howl's Moving Castle Film Comic vol. 4 (Howl's Moving Castle Film Comics) (Howl's Moving Castle Film Comics)|Hayao Miyazaki|No description available|['Magic', 'Fantasy', 'Reading Level-Grade 7', 'Fotonovelas', 'Castles', 'Juvenile fiction', 'Wizards', 'manga', 'Reading Level-Grade 10', 'Fiction', 'Comics & graphic novels', 'Reading Level-Grade 8', 'fantasy', 'Reading Level-Grade 9', 'Cartoons and comics']|2005|1|176|https://covers.openlibrary.org/b/id/764852-M.jpg|https://covers.openlibrary.org/b/id/764852-L.jpg|1.0|1|6299|
OL3963397W|Howls Moving Castle Picture Book (Howl's Moving Castle Picture Book)|Hayao Miyazaki|No description available|"['Castles', 'Picture books', ""Children's fiction"", 'fiction', 'Cartoons and comics']"|2005|1|184|https://covers.openlibrary.org/b/id/764848-M.jpg|https://covers.openlibrary.org/b/id/764848-L.jpg|0.0|0|34427|
OL60141W|Castle in the Air (Howl's Moving Castle #2)|Diana Wynne Jones|Having long indulged himself in daydreams more exciting than his mundane life as a carpet merchant, Abdullah unexpectedly purchases a magic carpet and his life changes dramatically as his daydreams come true and dangerous adventures become daily fare.|"['Fantasy', 'Magic', 'Juvenile fiction', 'Fiction', 'love', 'humour', 'Kidnapping', 'Fantasy fiction', 'adventure', ""Children's fiction"", 'fiction']"|1990|23|293|https://covers.openlibrary.org/b/id/8783953-M.jpg|https://covers.openlibrary.org/b/id/8783953-L.jpg|3.56|18|1134643|
OL480140W|Howls Moving Castle|Gene Walden|No description available|['Subject not available']|Year not available|1|0|https://covers.openlibrary.org/b/id/-M.jpg|https://covers.openlibrary.org/b/id/-L.jpg|0.0|0|68012|
OL27921002W|Howl's Moving Castle Calendar 2022|Howl's Moving Castle Calender|No description available|['Subject not available']|2022|2|0|https://covers.openlibrary.org/b/id/-M.jpg|https://covers.openlibrary.org/b/id/-L.jpg|0.0|0||
OL8783202W|Howl's Moving Castle Film Comic, Volume 2 (Howl's Moving Castle Film Comics)|Hayao|No description available|['Fantasy', 'Magic', 'Castles', 'manga', 'Wizards', 'Comics & graphic novels', 'Comic books', 'Children: Grades 1-2', 'strips', 'fantasy', 'Cartoons and comics']|2005|1|176|https://covers.openlibrary.org/b/id/764850-M.jpg|https://covers.openlibrary.org/b/id/764850-L.jpg|0.0|0|818806|
OL8783201W|Howl's Moving Castle Film Comics, Volume 1 (Howl's Moving Castle Film Comics)|Hayao|No description available|['Subject not available']|2005|1|176|https://covers.openlibrary.org/b/id/764849-M.jpg|https://covers.openlibrary.org/b/id/764849-L.jpg|0.0|0|34426|
OL3963396W|Howl's Moving Castle Film Comic, Volume 3 (Howl's Moving Castle Film Comics)|Hayao Miyazaki|No description available|['Fantasy', 'Magic', 'Castles', 'Juvenile fiction', 'Wizards', 'manga', 'Comics & graphic novels', 'Fiction', 'fantasy', 'Cartoons and comics']|2005|1|176|https://covers.openlibrary.org/b/id/764851-M.jpg|https://covers.openlibrary.org/b/id/764851-L.jpg|0.0|0|818807|
OL19293508W|Howl's moving castle|Hayao Miyazaki|When a witch's curse turns young Sophie into an old woman, she leaves home and finds work as a cleaning woman in the moving castle of the mysterious wizard Howl. She makes a deal with Calcifer, a fire demon, to free him from his magical contract with Howl in return for which he will remove Sophie's curse.|['Magic', 'Fantasy', 'Castles', 'Juvenile fiction', 'Wizards', 'manga', 'Comics & graphic novels', 'Fiction', 'Fotonovela', 'fantasy', 'Cartoons and comics']|2005|1|167|https://covers.openlibrary.org/b/id/-M.jpg|https://covers.openlibrary.org/b/id/-L.jpg|0.0|0|34426|
